category,technique_name,description,best_for,facilitation_prompts
collaborative,Yes And Building,"Build momentum through positive additions where each idea becomes a launching pad - use prompts like 'Yes and we could also...' or 'Building on that idea...' to create energetic collaborative flow that builds upon previous contributions","Team ideation; building on others' ideas; maintaining creative momentum","Yes, and we could also... | Building on that idea, what if we... | What does that idea make possible that we haven't said yet? | Take the last idea and add one unexpected element to it"
collaborative,Brain Writing Round Robin,"Silent idea generation followed by building on others' written concepts - gives quieter voices equal contribution while maintaining documentation through the sequence of writing silently, passing ideas, and building on received concepts","Inclusive team sessions; quieter participants; documenting as you go","Write 3 ideas silently before we discuss any | Pass your best idea to the left — now build on what you received | What did the idea you received make you think of that you wouldn't have on your own? | Take someone else's idea and push it one step further"
collaborative,Random Stimulation,"Use random words/images as creative catalysts to force unexpected connections - breaks through mental blocks with serendipitous inspiration by asking how random elements relate, what connections exist, and forcing relationships","Breaking creative blocks; forcing unexpected connections; when ideas are stagnating","Here's a random word: [pick a word]. How does it relate to your challenge? | What connection exists between [random object] and your problem? | Force a relationship: if your solution were a [random noun], what would it look like? | Pick any object in the room — how is your problem like that object?"
collaborative,Role Playing,"Generate solutions from multiple stakeholder perspectives to build empathy while ensuring comprehensive consideration - embody different roles by asking what they want, how they'd approach problems, and what matters most to them","Stakeholder analysis; empathy-driven design; multi-perspective problems","You are [stakeholder]. What do you want most from this solution? | How would [persona] approach this problem differently than you? | What matters most to [role] that nobody else has mentioned? | Switch roles — now you're [different stakeholder]. What did the last person get wrong?"
collaborative,Ideation Relay Race,"Rapid-fire idea building under time pressure creates urgency and breakthroughs - structure with 30-second additions, quick building on ideas, and fast passing to maintain creative momentum and prevent overthinking","High-energy sessions; breaking overthinking; time-constrained ideation","You have 30 seconds — give me one idea. Go. | Quick — build on the last idea in one sentence. | Pass! Next person, new angle in 20 seconds. | No filtering — say the first idea that comes to mind. Go."
creative,What If Scenarios,"Explore radical possibilities by questioning all constraints and assumptions - perfect for breaking through stuck thinking using prompts like 'What if we had unlimited resources?' 'What if the opposite were true?' or 'What if this problem didn't exist?'","Breaking stuck thinking; challenging assumptions; radical possibility exploration","What if we had unlimited resources — how would this change? | What if the opposite of our assumption were true? | What if this problem didn't exist at all — what would we build instead? | What if we had to solve this in 24 hours with zero budget?"
creative,Analogical Thinking,"Find creative solutions by drawing parallels to other domains - transfer successful patterns by asking 'This is like what?' 'How is this similar to...' and 'What other examples come to mind?' to connect to existing solutions","Transferring patterns from other fields; finding proven solutions in different domains","This problem is like what other situation? | How is this similar to [different industry/domain]? | What existing solution could we borrow and adapt? | What other examples come to mind that solved a parallel problem?"
creative,Reversal Inversion,"Deliberately flip problems upside down to reveal hidden assumptions and fresh angles - great when conventional approaches fail by asking 'What if we did the opposite?' 'How could we make this worse?' and 'What's the reverse approach?'","When conventional approaches fail; revealing hidden assumptions; finding fresh angles","What if we did the exact opposite of our current approach? | How could we deliberately make this problem worse? | What's the reverse of what everyone expects? | If we wanted to fail at this, what would we do — and what does that reveal?"
creative,First Principles Thinking,"Strip away assumptions to rebuild from fundamental truths - essential for breakthrough innovation by asking 'What do we know for certain?' 'What are the fundamental truths?' and 'If we started from scratch?'","Breakthrough innovation; challenging inherited assumptions; rebuilding from scratch","What do we know for certain about this problem? | What are the fundamental truths we can't question? | If we started from scratch with no history, how would we solve this? | Strip away every assumption — what's left?"
creative,Forced Relationships,"Connect unrelated concepts to spark innovative bridges through creative collision - take two unrelated things, find connections between them, identify bridges, and explore how they could work together to generate unexpected solutions","Generating unexpected connections; cross-pollinating ideas; when ideas feel too similar","Take [concept A] and [concept B] — what connects them? | If these two unrelated things had to work together, how would they? | What bridge exists between [your problem] and [unrelated domain]? | Force a connection between your last idea and [random concept] — what emerges?"
